Id,pr_score
1997484,4.45E-06
2907887,7.65E-06
76644,1.23E-05
2664389,6.20E-06
3482975,2.96E-05
1355249,1.61E-05
319266,1.23E-05
48886,9.90E-06
1055339,6.34E-06
420667,1.08E-05
1252040,3.00E-05
3317192,5.79E-06
336657,4.45E-06
611007,8.23E-06
2376893,4.45E-06
1183033,4.45E-06
3538411,7.73E-06
2893413,3.05E-05
5485167,5.05E-05
151445,1.51E-05
431528,2.96E-05
1144057,1.39E-05
4512651,3.96E-05
512922,6.44E-05
393805,1.09E-05
226006,1.26E-05
71,9.05E-06
28400,5.71E-06
1693141,7.73E-06
4770813,0.000100389
7900662,9.49E-06
4665,0.000174238
4497684,7.42E-06
4241278,1.36E-05
1035345,7.13E-06
5351856,2.96E-05
489046,4.45E-06
480031,9.57E-05
5412256,4.45E-06
3889100,0.000196232
327466,2.43E-05
959912,4.80E-05
2441921,6.95E-06
1260600,6.75E-06
3003216,0.000107355
5397993,4.45E-06
4330986,9.31E-05
403887,1.43E-05
1141299,8.82E-06
932418,3.33E-05
1039083,4.45E-06
6581787,4.45E-06
337522,2.69E-05
3915932,5.06E-06
300132,2.96E-05
4468648,8.18E-06
428813,4.45E-06
4462311,4.45E-06
1141798,4.45E-06
3231537,7.35E-05
1026,5.76E-05
6490070,4.45E-06
620697,4.45E-06
4268305,2.96E-05
3669290,2.96E-05
1357658,6.20E-06
6444884,7.96E-06
476500,4.45E-06
4687017,4.45E-06
5524478,0.000153863
425380,5.41E-05
3169202,4.45E-06
4729340,4.45E-06
471769,4.86E-06
5989509,4.45E-06
3303739,4.45E-06
2536102,2.96E-05
6351322,0.000105873
5887484,9.07E-06
4633197,0.000118811
916242,7.25E-06
634223,3.72E-05
1715168,5.01E-06
2283669,4.45E-06
6370870,7.73E-06
3825502,1.22E-05
13281,1.48E-05
378874,1.10E-05
1862,2.02E-05
1672,8.73E-06
20938,1.90E-05
4552675,8.65E-06
1034372,4.45E-06
2808183,4.45E-06
807229,4.98E-05
143030,1.40E-05
238428,4.45E-06
7935970,4.45E-06
2842458,7.69E-06
1833798,6.31E-05
7494163,4.45E-06
8398365,7.73E-06
2078383,4.45E-06
3889043,2.62E-05
6387094,4.45E-06
3225108,0.000187369
200410,1.44E-05
5996134,1.71E-05
2255089,0.000103514
4316060,8.92E-06
1032472,1.31E-05
2008950,8.20E-06
1398892,1.23E-05
5827640,5.65E-06
754119,0.000148198
3009607,7.73E-06
970973,1.43E-05
4746677,9.49E-06
3817533,7.73E-06
4322430,4.45E-06
4277964,4.45E-06
286599,5.46E-05
510002,4.45E-06
635981,6.81E-05
7511145,1.09E-05
4317628,3.41E-05
2169931,4.45E-06
2910492,4.45E-06
7894,7.50E-06
2212031,2.70E-05
1581725,2.87E-05
5511327,1.39E-05
1198341,6.81E-06
870906,4.45E-06
1034102,2.96E-05
287065,4.45E-06
768294,2.96E-05
2074981,2.98E-05
638886,9.07E-06
1958344,6.74E-06
2803565,1.55E-05
880619,0.00010332
2026660,9.44E-05
11256,3.63E-05
2426533,5.36E-06
908292,4.90E-06
386836,2.96E-05
2581562,0.0001285
215086,9.90E-05
4237520,8.23E-06
57191,2.04E-05
1346479,1.64E-05
6049581,1.32E-05
150246,5.65E-06
321946,9.71E-06
595833,1.19E-05
2415379,1.52E-05
9385643,4.45E-06
503672,4.45E-06
1902570,7.15E-06
2350658,2.96E-05
5640196,6.20E-06
4619443,2.96E-05
1156119,1.73E-05
558592,0.000102516
1176812,7.98E-06
630474,2.96E-05
8050336,4.45E-06
1449624,9.59E-05
197546,2.20E-05
736161,4.45E-06
786301,4.45E-06
4639281,8.13E-05
2327645,8.29E-06
5527340,2.96E-05
196285,8.15E-06
1947286,0.000318727
4619447,1.17E-05
430,4.45E-06
410023,4.42E-05
2818066,2.96E-05
1107593,1.91E-05
3199530,5.04E-05
303911,2.44E-05
230483,2.34E-05
5426909,2.43E-05
2474872,5.92E-05
152948,1.24E-05
8508777,4.45E-06
516167,6.20E-06
2534928,2.96E-05
1183575,7.73E-06
362536,0.000917712
285879,7.73E-06
127255,2.96E-05
5927668,4.45E-06
5072383,1.74E-05
2278676,1.03E-05
2770248,1.18E-05
2325723,4.45E-06
1255033,2.86E-05
1401235,1.13E-05
1006944,7.73E-06
1075534,1.96E-05
1012924,4.45E-06
269493,5.69E-06
