"Id","pr_score"
254830,6.34467521488007e-06
3244,6.94389454072985e-06
9267,6.94389454072985e-06
224314,6.94389454072985e-06
162907,6.94389454072985e-06
227926,6.94389454072985e-06
1296237,6.94389454072985e-06
1417737,6.94389454072985e-06
425997,6.94389454072985e-06
4184097,1.23368684733779e-05
18782,6.34467521488007e-06
57428,1.28200446789776e-05
177492,7.49492489981549e-06
185570,7.24350420365474e-06
169774,1.39681856400827e-05
2067943,7.24350420365474e-06
46991,6.34467521488007e-06
838,7.69291869804208e-06
61560,7.69291869804208e-06
3834,7.69291869804208e-06
661808,7.69291869804208e-06
4023,6.34467521488007e-06
24937,8.14233319242942e-06
153617,8.14233319242942e-06
120163,3.46132599317587e-05
488657,1.8271993224652e-05
164611,2.22037098164815e-05
41782,0.00015146185955676
86542,0.00011176465206424
44309,5.79932320518262e-05
43851,2.53944854160226e-05
28875,1.25628661083735e-05
20654,8.01574801734823e-06
192801,1.13780360528882e-05
2133137,7.7924364673421e-06
99256,1.08911411858784e-05
117601,7.52150159451482e-06
10861,8.84523155980117e-06
21234,6.77784581187991e-06
86643,9.86886966235561e-05
208339,5.7917234166435e-05
353410,8.37202113999964e-05
574479,2.96430195658058e-05
1253569,1.6190605023174e-05
1012014,1.6190605023174e-05
66549,0.000924389242366406
815724,6.83469639184484e-06
350542,3.0143029118985e-05
907578,9.9719095125877e-05
324364,0.000454214589152823
84270,9.39795536317238e-05
255688,8.35611553708599e-05
211116,0.000206100304897208
2591999,8.35611553708599e-05
2297484,8.49093988540219e-05
232888,6.34467521488007e-06
843822,1.27527212652963e-05
339555,1.04758967557388e-05
250826,1.49459382857295e-05
1118321,1.23824612481708e-05
865111,1.85854314897726e-05
744859,2.54445788810506e-05
395857,0.000342191785610864
163740,0.00145095516649381
112968,6.34467521488007e-06
35501,8.6584072529699e-06
1060350,0.00609140032735628
645895,8.14233319242942e-06
420055,4.60140297594006e-05
2133144,2.04605784332398e-05
492372,4.31727707049818e-05
202553,0.000234491061486639
1042409,2.27581599430132e-05
1170467,7.22158154539194e-06
10661,2.07700126921776e-05
1033808,0.000111633836242788
213098,1.23411990093845e-05
240457,0.000151673284259408
396216,8.05509583018796e-06
826244,8.41290989705603e-06
915743,0.000204652188036685
